LINE_KEY,LAYER1_MATERIAL_NAME,LAYER1_COMPOSED_PERCENTAGE,LAYER2_MATERIAL_NAME,LAYER2_COMPOSED_PERCENTAGE,RAW_MATERIAL_NAME,RAW_MATERIAL_NAME_CLEAN,RAW_MATERIAL_COMPOSED_PERCENTAGE,EMISSION_FACTOR,UNIT,PERCENTAGE_TOTAL_CONTRIBUTION,PART,CLIENT_NAME,CLIENT_GROUP,DESCRIPTION,YEAR
3554_1650532045248_97418,,,,,metallic fibre,Metal,null,5.269,kgCO2e/kg,0.0016636428081157047,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DUBELETTE,2022
3554_1643284403441_75422,,,,,viscose,Viscose/Rayon fabric,0.22,13.92,kgCO2e/kg,0.22,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY764 / ACLS22CHLIN,2022
2870_1654747041539_91365,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC VANITY CASE SLEEP KIT AR22 A0X
Container:FSC Washable Kraft
paper ( FSC MIX CREDIT)",2022
2881_1642224884777_40165,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,45258.1 Sudersand Beach Towel,2022
3554_1663208472782_96829,,,,,polyester,Polyester plastic,0.99,4.685,kgCO2e/kg,0.99,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZN344 / ICCS23CHMAR-LILAS
with 7.5%rebate",2022
4475_1642163897972_81622,,,,,polyethylene terephtalate (pet),polyethylene terephtalate (pet),null,3.50201,kgCO2e/kg,0.00209555741827326,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,Comfort Foot Pumice Stone,2022
4804_1658478505977_80442,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Interlining,Rituals Cosmetic Trade B.V.,Group - Rituals,Treasure Box XLarge Red,2022
2870_1651137243456_83707,,,,,polyester,Polyester plastic,0.5,4.685,kgCO2e/kg,0.5,Body,Société FIB NC7,Group - Camaieu,ABELTLILYSUEDE,2022
3006_1665159355392_43504,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.014632989105134374,null,JACADI,Group - Jacadi,3clips in one set,2022
3554_1643269295719_48152,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.05,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY786 / ACCS22CRFUN,2022
3554_1661413612822_3075,,,,,metallic fibre,Metal,null,5.269,kgCO2e/kg,0.013611602921629834,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,FYNEIGE,2022
3554_1660199256199_65483,,,,,metallic fibre,Metal,0.07,5.269,kgCO2e/kg,0.07,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"XM789 / ADCW20EFIN9 -ROSBLCSILV
set of 20 items
with 3%rebate",2022
2900_1641966717240_71310,,,,,polyester,Polyester plastic,0.3,4.685,kgCO2e/kg,0.03,Elastic with Lurex thread,Rituals Cosmetic Trade B.V.,Group - Rituals,"Ribbon + booklet Large Jing 2021

Ribbon: 100% polyester 39mm GG Ribbon in 383mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)+2mm Dia. Gold elastic String in 110mm loop length
Large Paper Tag: 360gsm Coated paper
Metal Coin: Zinc Alloy in 39mm Dia.
(FSC MIX CREDIT)",2022
3554_1644892701092_59932,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY783 / ACLS22STBIN,2022
2900_1635491362382_9664,,,,,rubber,Natural Rubber (NR),0.5,2.333,kgCO2e/kg,0.05,Elastic with Lurex thread,Rituals Cosmetic Trade B.V.,Group - Rituals,"Ribbon + booklet Large Mehr 2021

Ribbon: 100% polyester 39mm GG Ribbon in 383mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)+2mm Dia. Gold elastic String in 110mm loop length
Large Paper Tag: 360gsm Coated paper
Metal Coin: Zinc Alloy in 39mm Dia.
(FSC MIX CREDIT)",2022
3554_1648894873100_96436,,,,,metallic fibre,Metal,0.07,5.269,kgCO2e/kg,0.07,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
2870_1641373905190_59564,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.5993457927871334,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,Sudersand Beach Bag with Cooler,2022
3554_1660029712816_71289,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL812 / ADLW201CRAB,2022
2900_1635491362382_53494,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.6613730594334651,null,Rituals Cosmetic Trade B.V.,Group - Rituals,"Ribbon + booklet Medium Sakura 2021

Ribbon: 100% polyester 39mm GG Ribbon in 323mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)+2mm Dia. Gold elastic String in 110mm loop length
Large Paper Tag: 360gsm Coated paper
Metal Coin: Zinc Alloy in 39mm Dia.
(FSC MIX CREDIT)",2022
3006_1667909541028_63699,,,,,rubber,Natural Rubber (NR),null,2.333,kgCO2e/kg,0.0006152120145214913,null,JACADI,Group - Jacadi,2elastics in one set,2022
3554_1655453112002_22409,,,,,acetate,acetate,null,2.435169279,kgCO2e/kg,0.006097058757361727,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DUCHOUETTE,2022
3554_1654485747015_87660,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZG500/ICCW22STLIB-VERT JUNE,2022
3554_1663208472782_52581,,,,,elastane,Elastane/Spandex fabric,0.01,8.775,kgCO2e/kg,0.01,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZN344 / ICCS23CHMAR-JAUNE HONE
with 7.5%rebate",2022
2900_1648811122018_83434,,,,,jute,Jute fiber fabric,null,9.32,kgCO2e/kg,0.013150528410284152,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX ROUTINE ENERGISING XM22 A0X

Case: 140gsm woodfree paper + 1.5mm greyboard +Jute Ribbon
Base: 120gsm kraft paper + 1.5mm greyboard 
Fitment: 250gsm CCNB + corrguated board + 1.5mm greyboard 
(FSC MIX CREDIT)",2022
2900_1648811122018_83434,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.0035741109216657105,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX ROUTINE ENERGISING XM22 A0X

Case: 140gsm woodfree paper + 1.5mm greyboard +Jute Ribbon
Base: 120gsm kraft paper + 1.5mm greyboard 
Fitment: 250gsm CCNB + corrguated board + 1.5mm greyboard 
(FSC MIX CREDIT)",2022
2881_1665304231818_19783,,,,,wood,Wood,null,1.105,kgCO2e/kg,0.003400433169973441,null,NWBEEZ ltd,Group - Sergent Major,CAP,2022
2900_1648889713568_55398,,,,,jute,Jute fiber fabric,null,9.32,kgCO2e/kg,0.013150528410284152,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX INTRO RELAXING XM22 A0X

Container: 140gsm woodfree paper + 1.5mm greyboard  + 130gsm kraft paper
Fitment: KAK corrugated board
(FSC MIX CREDIT)",2022
2900_1648878294431_25011,,,,,jute,Jute fiber fabric,null,9.32,kgCO2e/kg,0.013150528410284152,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX INTRO RELAXING XM22 A0X

Container: 140gsm woodfree paper + 1.5mm greyboard  + 130gsm kraft paper
Fitment: KAK corrugated board
(FSC MIX CREDIT)",2022
3554_1660785705332_17765,,,,,polyester,Polyester plastic,0.97,4.685,kgCO2e/kg,0.97,null,FabFitFun,Group - FabFitFun,Summer & Rose Ditsy Scrunchies - set of 3,2022
4804_1642589057710_86463,,,,,wood,Wood,null,1.105,kgCO2e/kg,0.44314686382659796,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,45545.1 Earpods Case,2022
3554_1642407618785_90220,,,,,metallic fibre,Metal,null,5.269,kgCO2e/kg,0.015469153479646511,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,Hair clip with 4pcs in set,2022
3554_1650532045248_66006,,,,,metallic fibre,Metal,null,5.269,kgCO2e/kg,0.0016636428081157047,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DOPIPLETTE,2022
2881_1646207938768_83040,,,,,viscose,Viscose/Rayon fabric,null,13.92,kgCO2e/kg,0.06229689224481967,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,22WI01G1BOND324,2022
2900_1664350856248_27143,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,0.01,Other,Rituals Cosmetic Trade B.V.,Group - Rituals,"Shopping Bag Large

Bag: 200gsm FSC White Kraft paper + 350gsm Greyback for bottom card & inside of turn tops + 5 x 500mm Black PP handle 
(FSC MIX CREDIT)",2022
2870_1648550758917_69448,,,,,cotton,Cotton fabric,1,8.177,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,GC BAG ULTIMATE BRITISH ROSE XM22 A0X,2022
3554_1645005555952_72532,,,,,iron,Iron,0.75,2.366,kgCO2e/kg,0.75,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XX307 / ADLS21BARIS,2022
4804_1664251599514_83402,,,,,glass,Glass,1,1.01,kgCO2e/kg,0.03,Other,Rituals Cosmetic Trade B.V.,Group - Rituals,Advent Christmas Lights,2022
2870_1648550758917_52276,,,,,cotton,Cotton fabric,1,8.177,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,GC BAG ULTIMATE AVOCADO XM22 A0X,2022
2895_1648106864395_46798,,,,,zinc alloy,Zinc,null,2.486,kgCO2e/kg,0.2737139799740121,null,The Body Shop International Limited,Group - The Body Shop,"FACIAL ROLLER ROSE GIFT XM22 ARX

Rose Quartz +Zinc alloy + Bamboo handle",2022
3554_1644821941078_2243,,,,,cotton,Cotton fabric,0.15,8.177,kgCO2e/kg,0.15,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS153 / ADCW20STGLI,2022
3173_1641956469141_40801,,,,,copper,Copper,0.04,4.346,kgCO2e/kg,0.04,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,SUNGLASS,2022
3006_1645075584872_95854,,,,,polyester,Polyester plastic,0.2,4.685,kgCO2e/kg,0.2,null,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,2clips in one set,2022
3173_1642057419079_27675,,,,,copper,Copper,0.04,4.346,kgCO2e/kg,0.04,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,SUNGLASS,2022
2870_1644904801916_75633,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,0.6,Body,Oriflame Cosmetics Global S.A.,Group - Oriflame,Cosmetic Bag,2022
3006_1661416733301_5519,,,,,acrylic,Poly(methyl methacrylate) (PMMA) (Acrylic) plastic,0.5,5.645,kgCO2e/kg,0.5,null,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,2clips in one set,2022
3554_1645064179490_27460,,,,,polyester,Polyester plastic,0.3,4.685,kgCO2e/kg,0.3,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM881 / ADCW20CGRA2,2022
4475_1663747756840_59810,,,,,pumice stone,Pumice,0.25,0.009,kgCO2e/kg,0.1,Other,Oriflame Cosmetics Global S.A.,Group - Oriflame,46420.1Multi Pedicure Tool,2022
3554_1664353208519_44097,,,,,elastodiene,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.009331063049150032,null,NEWORCH,Group - Orchestra,OTETE-AY/AFIOL9-ECR-Assorted,2022
2900_1648885324664_79810,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC CYO WHITE TISSUE 2022 A0X

17gsm white tissue paper     
- Trim size with 760 x 500mm, 480pcs per ream as a Unit pack",2022
2881_1657533863518_80364,,,,,viscose,Viscose/Rayon fabric,0.5,13.92,kgCO2e/kg,0.25,Back Panel,Rituals Cosmetic Trade B.V.,Group - Rituals,"Vellore Cotton Velvet 
Cushion case 50x30cm 
Golden Mocha",2022
3554_1650871657514_17864,,,,,elastane,Elastane/Spandex fabric,0.49,8.775,kgCO2e/kg,0.49,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL791 / ADLW20ECOOL,2022
3554_1642745986931_41930,,,,,rubber,Natural Rubber (NR),null,2.333,kgCO2e/kg,0.0006152120145214913,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,Elastic with 2pcs in set,2022
3554_1655346791703_6422,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.001077136073139587,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DARITA,2022
3554_1652865970051_94432,,,,,polyester,Polyester plastic,0.15,4.685,kgCO2e/kg,0.15,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
2870_1640760002326_55385,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.4,null,Oriflame Cosmetics Global Pte. Ltd.,Group - Oriflame,"Dusk Trolley 70gsm art paper 1C+0 with 
matt varnish (FSC MIX CREDIT)",2022
3554_1663919303089_4960,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.016696723326259922,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,FEBLUETTE,2022
3554_1645692024906_98599,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.05,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS133 / ADCW20CHBAS,2022
2900_1648869396378_54732,,,,,paper,Paper,null,0.578,kgCO2e/kg,1,null,The Body Shop International Limited,Group - The Body Shop,"GC TAG ULTIMATE SHEA XM22 A0X

230gsm Coated paper
(FSC MIX CREDIT)",2022
3554_1643187488074_35482,,,,,elastodiene,Elastane/Spandex fabric,0.63,8.775,kgCO2e/kg,0.63,Elastic without lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
3554_1645673959010_79323,,,,,elastane,Elastane/Spandex fabric,0.04,8.775,kgCO2e/kg,0.04,Elastic,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY782 / ACLS22CHBIN,2022
3554_1661413612822_3075,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.016696723326259922,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,FYNEIGE,2022
2870_1641369562769_27668,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.1737090912748821,null,Sisley Cosmetics SDN BHD,Group - Sisley,Pouch 10,2022
3173_1642052423412_43693,,,,,copper,Copper,0.42,4.346,kgCO2e/kg,0.42,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,SUNGLASS,2022
3554_1666344301557_3142,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.001077136073139587,null,NEWORCH,Group - Orchestra,"CONGABIS-AY/AI00A6-ECR-Solid
baby Headband",2022
3554_1663215610203_49442,,,,,iron,Iron,0.4,2.366,kgCO2e/kg,0.4,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZN335 / ICCS23CRFLE
with 7.5%rebate",2022
3554_1645512051522_53096,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YW487 / ACCS22CRBOW,2022
3006_1654569242356_79270,,,,,paper,Paper,null,0.578,kgCO2e/kg,0.011550476473553279,null,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,BANDEAU IOMAN F,2022
3554_1661415101396_23179,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.470114073545409,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,FYBARETTE,2022
3554_1643256016847_81474,,,,,glass,Glass,0.35,1.01,kgCO2e/kg,0.35,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY767 / ACLS22BAPAI,2022
3006_1665161412477_43809,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.021512914590690168,null,JACADI,Group - Jacadi,1hairband in one set,2022
3554_1643194510129_99436,,,,,cotton,Cotton fabric,0.95,8.177,kgCO2e/kg,0.95,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS133 / ADCW20CHBAS,2022
2883_1665558496676_14415,,,,,brass,brass,0.05,5.685212387,kgCO2e/kg,0.05,Body,Oriflame Cosmetics Global S.A.,Group - Oriflame,Smoked Ecru Sunglasses,2022
3554_1644832854399_69209,,,,,polyester,Polyester plastic,0.96,4.685,kgCO2e/kg,0.96,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY782 / ACLS22CHBIN,2022
3554_1666604454892_98009,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL812 / ADLW201CRAB,2022
2895_1648110995767_7623,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.020655846937318548,null,The Body Shop International Limited,Group - The Body Shop,"KONJAC FACIAL SPONGE PINK CLAY XM22

100% natural Konjac with pink clay infusion",2022
3554_1658739537274_7901,,,,,polyester,Polyester plastic,0.15,4.685,kgCO2e/kg,0.15,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
4484_1641285617085_6998,,,,,carbon steel,Reinforcing steel,null,2.14,kgCO2e/kg,0.12749708903329907,null,Mary Kay Inc.,Group - Mary Kay,10209425 PADS-MUREMOVERMULTI 2/23MURMVRROUNDSMULTI 2/23,2022
2900_1658134187541_96007,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,"Shopping Bag Medium

Bag: 120gsm FSC White Kraft paper + 350gsm Greyback for bottom card & inside of turn tops + 5 x 380mm Black paper twisted handle
(FSC MIX CREDIT)",2022
3554_1645672863893_27067,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY783 / ACLS22STBIN,2022
2900_1648868615704_67350,,,,,jute,Jute fiber fabric,null,9.32,kgCO2e/kg,0.013150528410284152,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX INTRO RELAXING XM22 A0X

Container: 140gsm woodfree paper + 1.5mm greyboard  + 130gsm kraft paper
Fitment: KAK corrugated board
(FSC MIX CREDIT)",2022
2870_1648461493599_8379,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC VANITY CASE 200mm A0X
Container: FSC Washable kraft paper(FSC MIX CREDIT)",2022
3006_1646982094954_31988,,,,,elastane,Elastane/Spandex fabric,0.4,8.775,kgCO2e/kg,0.4,null,JACADI,Group - Jacadi,3elastics in one set,2022
2900_1648871074649_73181,,,,,paper,Paper,null,0.578,kgCO2e/kg,1,null,The Body Shop International Limited,Group - The Body Shop,"GC TAG COCONUT XM22 A0X

230gsm Coated paper
(FSC MIX CREDIT)",2022
3554_1663054793993_33268,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZN248 / ICLS23CRLIT,2022
2900_1642044705680_7440,,,,,aluminum alloy,Aluminum,1,8.836,kgCO2e/kg,0.75,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,"Alu Sticker 42mm

Material: 0.25mm Thickness Silk screen color Aluminium
H24 hardness and 0.5mm strong self-adhesion backing",2022
2881_1650262265373_73245,,,,,viscose,Viscose/Rayon fabric,0.52,13.92,kgCO2e/kg,0.52,Shell,NEWORCH,Group - Orchestra,MINEMPLOI-AX HATS/SCARF,2022
2900_1654168249687_74315,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,"Shopping Bag Small

Bag: 120gsm FSC White Kraft paper + 250gsm Greyback for bottom card & inside of turn tops + 5 x 380mm Black paper twisted handle 
(FSC MIX CREDIT)",2022
3554_1648894873100_75109,,,,,elastodiene,Elastane/Spandex fabric,0.75,8.775,kgCO2e/kg,0.7499999999999999,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
3554_1644995308110_81949,,,,,metallic fibre,Metal,0.07,5.269,kgCO2e/kg,0.07,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
3554_1642756207991_47216,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.001077136073139587,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,HEADBAND,2022
3006_1657202009138_51464,,,,,paper,Paper,null,0.578,kgCO2e/kg,0.011550476473553279,null,Okaidi France SAS,Group - Okaidi,698625  HTOEL,2022
2870_1648459518464_33624,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC SLEEVE MED BRITISH ROSE XM22 A0X
Container: 300gsm FSC Sen Woodfree paper ( FSC MIX CREDIT)",2022
2900_1666773480662_23811,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,"Shopping Bag Small

Bag: 120gsm FSC White Kraft paper + 250gsm Greyback for bottom card & inside of turn tops + 5 x 380mm Black paper twisted handle 
(FSC MIX CREDIT)",2022
2900_1641966717240_74782,,,,,polyester,Polyester plastic,0.3,4.685,kgCO2e/kg,0.03,Elastic with Lurex thread,Rituals Cosmetic Trade B.V.,Group - Rituals,"Ribbon + booklet Small Jing 2021

Ribbon: 100% polyester 39mm GG Ribbon in 277mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)+2mm Dia. Gold elastic String in 150mm loop length
Small Paper Tag: 360gsm Coated paper
(FSC MIX CREDIT)",2022
3554_1653636604910_29004,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.019263163350912875,null,NEWORCH,Group - Orchestra,AJANVIER-AX/AFIOJ8-CCC-Assorted,2022
4483_1647227125966_36301,,,,,rubber,Natural Rubber (NR),0.5,2.333,kgCO2e/kg,0.05,Elastic with Lurex thread,Rituals Cosmetic Trade B.V.,Group - Rituals,"Ribbon + booklet Large Mehr 2021

Ribbon: 100% polyester 39mm GG Ribbon in 383mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)+2mm Dia. Gold elastic String in 110mm loop length
Large Paper Tag: 360gsm Coated paper
Metal Coin: Zinc Alloy in 39mm Dia.
(FSC MIX CREDIT)",2022
2900_1648890836319_9681,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.003574110921665711,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX MORINGA HAIRCARE XM22 A0X

Container: 140gsm Woodfree paper + 120gsm Kraft paper + 1.5mm greyboard + Paper String
Fitment: 250gsm CCNB + corrugated board + 1.5mm greyboard
(FSC MIX CREDIT)",2022
2881_1658916387526_78697,,,,,polyamide,Nylon/Polyamide (PA) plastic,0.2,9.645,kgCO2e/kg,0.12,Shell,NEWORCH,Group - Orchestra,JUS-AX HATS/SCARF,2022
3554_1663206790762_14164,,,,,viscose,Viscose/Rayon fabric,0.34,13.92,kgCO2e/kg,0.34,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZN346 / ICCS23HBATR
with 3%rebate",2022
3554_1643259981862_10889,,,,,epoxy,Epoxy plastic,0.05,7.445,kgCO2e/kg,0.05,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
3554_1643187488074_5552,,,,,polyester,Polyester plastic,0.18,4.685,kgCO2e/kg,0.18,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
2881_1642235271935_90805,,,,,cashmere,Wool fabric,0.05,38.63,kgCO2e/kg,0.05,null,JACADI,Group - Jacadi,2027513-DAISY R,2022
3554_1654740886290_52999,,,,,cotton,Cotton fabric,null,8.177,kgCO2e/kg,0.015677819966536506,null,NWBEEZ ltd,Group - Sergent Major,PYAJOCLIC5-Solid,2022
2895_1648866903288_9613,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.036647470372661944,null,The Body Shop International Limited,Group - The Body Shop,KONJAC SPONGE COLLECTION XM22 A0X,2022
4804_1650254494961_4108,,,,,silicone,Silicone plastic,1,8.105,kgCO2e/kg,0.05,Other,Rituals Cosmetic Trade B.V.,Group - Rituals,Enume Soap Dispenser Antique,2022
3554_1644976657794_77630,,,,,thermoplastic polyurethane(tpu),Thermoplastic Polyurethane (TPU) plastic,1,6.305,kgCO2e/kg,1,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM727 / ADCW20ETRE9,2022
2881_1642227010248_4046,,,,,viscose,Viscose/Rayon fabric,0.53,13.92,kgCO2e/kg,0.53,null,NEWORCH,Group - Orchestra,MINERTIEL-AX  GLOVE,2022
3554_1642488110288_34077,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.11075910991703262,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,Elastic with 2pcs in set,2022
4484_1653012315264_65385,,,,,konjac root,konjac root,null,0.656,kgCO2e/kg,0.5109066890063152,null,Douglas Cosmetics GmbH,Group - Nocibe Douglas,98392 TRAVEL 3 MINI BLENDER KIT,2022
3554_1644892701091_48778,,,,,elastane,Elastane/Spandex fabric,0.05,8.775,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY783 / ACLS22STBIN,2022
3006_1648476440550_61569,,,,,elastane,Elastane/Spandex fabric,0.4,8.775,kgCO2e/kg,0.4,null,JACADI,Group - Jacadi,3elastics in one set,2022
3554_1652865970051_6796,,,,,polyester,Polyester plastic,0.15,4.685,kgCO2e/kg,0.15,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
3554_1645668757112_47993,,,,,cotton,Cotton fabric,0.4,8.177,kgCO2e/kg,0.39999999999999997,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY312 / ACCS22CRGAZ,2022
